id,email,password ,role
12345,dinu@ymail.com,query22,student
12346,aditya1997@hotmail.com,adi1997,donor
12347,prit1997@hotmail.com,pritam09,volunter
12348,harry@ymail.com,harry098,student
12349,pritam@ymail.com,prit9087,donor
45678,rohan98@hotmail.com,tom34,student
24267,naman@ymail.com,nam789,donor
34536,yadnesh45@yamil.com,yad9846,donor
87654,umesh123@ymail.com,umi123,student
45685,mohini@hotmail.com,moni456,student
24556,monalisa5687@ymail.com,monalisa78,student
65478,pranuu56@ymail.com,pranit98,volunter
98667,sagu678@hotmail.com,sagar97,volunter
12354,khan@ymail.com,khan098,student
